"SIU";"LINHA";"SUBLINHA";"PC";" Endereço do Ponto";" Nº Imóvel";"Seq";"0";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12";"13";"14";"15";"16";"17";"18";"19";"20";"21";"22";"23";" Total geral ";"Latitude.WGS84";"Longitude.WGS84";"X";"Y";"NA";"NA"
"91127";"101";"1";"1";"LA PAZ, RUA";"172";21;0;0;0;0;0;0;3;8;4;7;0;0;2;8;0;10;9;0;0;0;7;0;0;0;58;"-19.9493664630722";"-43.9393538124748";"610989.46";"7793771.25";58;"101-91127"
"90270";"102";"1";"1";"CARACA, RUA";"358";22;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;4;"-19.9423857569817";"-43.9196369511851";"613057.86";"7794530.68";4;"102-90270"
"90271";"102";"1";"1";"CARACA, RUA";"530";23;0;0;0;0;0;0;2;0;0;6;0;5;0;0;2;0;0;0;2;0;2;0;0;0;19;"-19.942575276684";"-43.9178631153098";"613243.37";"7794508.51";19;"102-90271"
"90272";"102";"1";"1";"CARACA, RUA";"774";24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;4;"-19.9433745670277";"-43.9157161948568";"613467.49";"7794418.6";4;"102-90272"
"90373";"102";"1";"1";"DESEMBARGADOR MARIO MATTOS, RUA";"57";12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;9;10;0;0;0;0;0;0;23;"-19.9394456446016";"-43.9169143361909";"613344.9";"7794854.24";23;"102-90373"
"90374";"102";"1";"1";"DESEMBARGADOR MARIO MATTOS, RUA";"331";11;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;4;8;3;0;0;0;0;0;0;19;"-19.9395479561577";"-43.914432256144";"613604.6";"7794841.24";19;"102-90374"
"90376";"102";"1";"1";"DESEMBARGADOR MARIO MATTOS, RUA";"540";25;0;0;0;0;0;2;0;0;7;9;0;12;0;0;11;6;19;10;12;2;0;2;0;0;92;"-19.9394242246488";"-43.912417422994";"613815.56";"7794853.57";92;"102-90376"
"90405";"102";"1";"1";"PROFESSOR ESTEVAO PINTO, RUA";"427";15;0;0;0;0;0;0;3;0;0;0;3;0;2;0;2;4;13;6;0;0;2;0;0;0;35;"-19.9384778850285";"-43.9226262657945";"612747.78";"7794965.19";35;"102-90405"
"90538";"102";"1";"1";"MONTE ALEGRE, RUA";"162";16;0;0;0;0;0;0;4;0;0;0;0;0;0;0;2;4;2;0;2;8;0;2;0;0;24;"-19.936185353012";"-43.9238577322163";"612620.52";"7795219.74";24;"102-90538"
"90588";"102";"1";"1";"DO OURO, RUA";"432";17;0;0;0;0;0;2;0;0;7;0;0;2;0;0;0;0;10;3;5;2;0;4;0;0;35;"-19.9356309713014";"-43.9223882652442";"612774.71";"7795280.11";35;"102-90588"
"90589";"102";"1";"1";"DO OURO, RUA";"650";18;0;0;0;0;0;0;0;3;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;8;"-19.9372746698365";"-43.9216212464497";"612853.82";"7795097.68";8;"102-90589"
"90590";"102";"1";"1";"DO OURO, RUA";"788";19;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;"-19.9382199302487";"-43.9206777974438";"612951.89";"7794992.43";2;"102-90590"
"90591";"102";"1";"1";"DO OURO, RUA";"1014";20;0;0;0;0;0;0;3;0;0;3;3;0;7;0;0;6;0;3;0;0;3;6;0;0;34;"-19.9399435149895";"-43.9200628905399";"613015.02";"7794801.26";34;"102-90591"
"90592";"102";"1";"1";"DO OURO, RUA";"1206";21;0;0;0;0;0;0;0;0;0;3;5;0;5;0;7;4;0;0;0;0;2;0;0;0;26;"-19.9416324902878";"-43.9198193186634";"613039.31";"7794614.17";26;"102-90592"
"90605";"102";"1";"1";"PALMIRA, RUA";"657";14;0;0;0;0;0;0;3;0;0;0;0;2;0;0;0;0;2;0;2;0;0;2;0;0;11;"-19.9391587962172";"-43.9193078548119";"613094.6";"7794887.6";11;"102-90605"
"90606";"102";"1";"1";"PALMIRA, RUA";"791";13;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0;0;0;0;6;"-19.9395095473613";"-43.9181041426803";"613220.33";"7794847.97";6;"102-90606"
"90915";"102";"1";"1";"NOSSA SENHORA DE FATIMA, RUA";"55";9;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;3;0;2;0;2;0;0;0;11;"-19.9374144101761";"-43.9111560157161";"613949.02";"7795075.15";11;"102-90915"
"90916";"102";"1";"1";"NOSSA SENHORA DE FATIMA, RUA";"365";8;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;4;"-19.9380468020128";"-43.9092995031094";"614142.87";"7795003.9";4;"102-90916"
"90917";"102";"1";"1";"NOSSA SENHORA DE FATIMA, RUA";"960";7;0;0;0;0;0;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;2;0;0;8;"-19.9385397177418";"-43.9078629102714";"614292.87";"7794948.37";8;"102-90917"
"90918";"102";"1";"1";"NOSSA SENHORA DE FATIMA, RUA";"1235";6;0;0;0;0;0;2;0;0;0;0;5;0;0;0;0;0;6;0;0;0;7;0;0;0;20;"-19.9386097482677";"-43.9056466880402";"614524.77";"7794939.11";20;"102-90918"
"90920";"102";"1";"1";"NOSSA SENHORA DE FATIMA, RUA";"1525";5;0;0;0;0;0;3;7;3;0;0;3;4;0;0;2;0;2;0;0;0;0;0;0;0;24;"-19.9367216478699";"-43.9046865563973";"614626.62";"7795147.42";24;"102-90920"
"90921";"102";"1";"1";"NOSSA SENHORA DE FATIMA, RUA";"1788";28;0;0;0;0;0;7;3;10;2;0;0;0;0;0;0;0;4;0;0;0;0;2;0;0;28;"-19.9375426718418";"-43.9031583622224";"614785.97";"7795055.51";28;"102-90921"
"90922";"102";"1";"1";"NOSSA SENHORA DE FATIMA, RUA";"1789";4;0;0;0;0;0;8;0;0;0;3;0;2;0;0;0;2;0;0;2;0;0;2;0;0;19;"-19.937526141455";"-43.9029249606708";"614810.41";"7795057.18";19;"102-90922"
