"SIU";"LINHA";"SUBLINHA";"PC";" Endereço do Ponto";" Nº Imóvel";"Seq";"0";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12";"13";"14";"15";"16";"17";"18";"19";"20";"21";"22";"23";" Total geral ";"Latitude.WGS84";"Longitude.WGS84";"X";"Y"
"90405";"102";"1";"1";"PROFESSOR ESTEVAO PINTO, RUA";"427";15;0;0;0;0;0;0;4;3;0;0;0;2;3;0;0;0;0;0;4;0;0;0;0;0;16;"-19.9384778850285";"-43.9226262657945";"612747.78";"7794965.19"
"90538";"102";"1";"1";"MONTE ALEGRE, RUA";"162";16;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;4;8;0;0;4;0;4;0;0;23;"-19.936185353012";"-43.9238577322163";"612620.52";"7795219.74"
"90588";"102";"1";"1";"DO OURO, RUA";"432";17;0;0;0;0;0;0;0;0;3;0;8;10;0;0;0;4;0;6;4;8;7;9;0;0;59;"-19.9356309713014";"-43.9223882652442";"612774.71";"7795280.11"
"90589";"102";"1";"1";"DO OURO, RUA";"650";18;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;3;"-19.9372746698365";"-43.9216212464497";"612853.82";"7795097.68"
"90590";"102";"1";"1";"DO OURO, RUA";"788";19;0;0;0;0;0;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;7;"-19.9382199302487";"-43.9206777974438";"612951.89";"7794992.43"
"90591";"102";"1";"1";"DO OURO, RUA";"1014";20;0;0;0;0;0;0;0;3;0;5;8;0;3;0;0;0;4;0;8;6;0;0;0;0;37;"-19.9399435149895";"-43.9200628905399";"613015.02";"7794801.26"
"90592";"102";"1";"1";"DO OURO, RUA";"1206";21;0;0;0;0;0;0;0;3;0;0;5;5;0;0;4;0;0;0;0;4;0;0;0;0;21;"-19.9416324902878";"-43.9198193186634";"613039.31";"7794614.17"
"90605";"102";"1";"1";"PALMIRA, RUA";"657";14;0;0;0;0;0;0;0;0;0;3;0;0;0;0;4;7;0;2;0;0;3;2;0;0;21;"-19.9391587962172";"-43.9193078548119";"613094.6";"7794887.6"
"90606";"102";"1";"1";"PALMIRA, RUA";"791";13;0;0;0;0;0;0;0;0;0;3;3;0;0;0;0;0;0;9;0;0;3;0;0;0;18;"-19.9395095473613";"-43.9181041426803";"613220.33";"7794847.97"
"90915";"102";"1";"1";"NOSSA SENHORA DE FATIMA, RUA";"55";9;0;0;0;0;0;0;8;5;0;8;5;5;3;0;12;4;0;0;4;0;0;0;0;0;54;"-19.9374144101761";"-43.9111560157161";"613949.02";"7795075.15"
"90916";"102";"1";"1";"NOSSA SENHORA DE FATIMA, RUA";"365";8;0;0;0;0;0;2;0;8;0;3;0;0;0;0;4;0;0;2;0;0;0;0;0;0;19;"-19.9380468020128";"-43.9092995031094";"614142.87";"7795003.9"
"90917";"102";"1";"1";"NOSSA SENHORA DE FATIMA, RUA";"960";7;0;0;0;0;0;5;0;0;3;0;0;2;0;0;4;0;0;0;0;0;0;0;0;0;14;"-19.9385397177418";"-43.9078629102714";"614292.87";"7794948.37"
"90918";"102";"1";"1";"NOSSA SENHORA DE FATIMA, RUA";"1235";6;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;"-19.9386097482677";"-43.9056466880402";"614524.77";"7794939.11"
